JobTitle,company,Applied,JobType,DaysPostedAgo,MatchPercentage,LinkToApply,NoOfSkillsJobDemanded,SkillsJobDemended,NoOfMatchedSkills,MatchedSkills,NoOfUnmatchedSkills,UnmatchedSkills,NoOfExtraSkillsYouHave,ExtraSkillsYouHave,MyTotalSkills
 Performance and Workload Development Intern, Intel, ," Temporary, Internship",7,64.29,https://www.indeed.com/rc/clk?jk=1817d6df202c612a&fccid=f1374be6a45f4b8a&vjs=3,28,"Optimization, Software, Languages, Debugging, Technical, Windows, R, Electrical, Operating Systems, C++, Processing, Analysis, Developer, Legal, Linux, C, Computer, Tools, Engineering, Leadership, Science, Development, Programming Languages, Parallel Processing, Training, Data, Programming, Computer Science",18,"Windows, C, Leadership, Optimization, Science, Development, Computer, R, C++, Tools, Processing, Data, Programming, Analysis, Developer, Technical, Linux, Computer Science",10,"Programming Languages, Parallel Processing, Training, Electrical, Software, Languages, Operating Systems, Debugging, Engineering, Legal",90,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Technology, Forecasting, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Analytics Summer Intern, AvalonBay Communities, ," Temporary, Internship",14,64.29,https://www.indeed.com/rc/clk?jk=20354fe3f97578ba&fccid=5fae468f83f616ed&vjs=3,42,"Statistical Analysis, Mathematics, Data Analytics, Implementation, Unix, Code, Technical, Mac, Customer Service, Support, Hadoop, Data Visualizations, Statistics, AWS, R, Writing, Data Visualization, Analysis, Linux, Statistical Modeling, C, Python, Computer, Tableau, Research, Data Science, Tools, Operations, Engineering, Spark, Modeling Tools, Analytics, Science, SQL, UNIX, Hive, Data, Pig, Math, Visualizations, Management, Computer Science",27,"Statistical Analysis, Data Analytics, Code, Technical, Mac, Hadoop, Statistics, R, Data Visualization, Analysis, Linux, C, Python, Computer, Tableau, Data Science, Tools, Operations, Spark, Analytics, Science, SQL, Hive, Data, Pig, Management, Computer Science",15,"Support, Data Visualizations, UNIX, Math, AWS, Research, Writing, Mathematics, Implementation, Unix, Engineering, Visualizations, Modeling Tools, Statistical Modeling, Customer Service",81,"Toad, Statistical Learning, Tensorflow, Excel, Optimization, Decision making, Text Analytics, sklearn, Hadoop Streaming, MapReduce, Keras, Hadoop ecosystem, Certifications, Convolutional Neural Network, Reports, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, R-Studio, Image Processing, Flume, Quantitative, Data Warehousing, image classification problem, Statistical Modelling, OLAP, SAP Business Objects, Machine Learning Algorithms, C++, Processing, MS Excel, Quantitative Analysis, Big Data Analytics, Developer, Decision Analytics, SAS, Data Sets, Spyder, Seaborn, Oracle, ETL, Data Analysis, HANA, image classification, Jupyter Notebooks, Decision Making, Reporting, Enterprise Miner, SAP HANA, PLSQL, C#, Coding, Java, Oracle SQL Developer, BEX Query Designer and Analyzer, Data Mining, Leadership, Technology, Forecasting, Development, Lumira, Matplotlib, Sqoop, SAP NetWeaver, Multivariate Analysis, Pandas, Translation, Networks, Numpy, Exploratory Data Analysis, Big Data, Programming, Microsoft Azure, sci-kit learn, Business Objects, MS Visual Studio, NLTK, SAP Design Studio, CNN, Design",108
 Data Analyst Intern, Motivate International Inc., ," Temporary, Internship",9,64,https://www.indeed.com/rc/clk?jk=da0b29d8f2d5b53b&fccid=a5a3c0088f84d981&vjs=3,25,"Excel, Time Management, Mathematics, Technical, Statistics, R, Metrics, C, Python, Computer, Tools, Design, Operations, Java, Work Independently, Science, SQL, Data, Creative, Javascript, D3.js, Math, Organization, Management, Computer Science",16,"C, Science, Excel, SQL, Python, Statistics, Computer, R, Java, Tools, Data, Computer Science, Operations, Technical, Management, Design",9,"Metrics, D3.js, Mathematics, Time Management, Creative, Javascript, Math, Organization, Work Independently",92,"Toad, Tensorflow, Certifications, Code, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Analytics, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Statistical Programmer Intern, Agios Pharmaceuticals, , Internship,16,64,https://www.indeed.com/rc/clk?jk=c94784d736af0739&fccid=4029560ec46c5d46&vjs=3,25,"Excel, Statistical Analysis, Microsoft Word, Mathematics, Mac, Statistics, R, Metrics, Analysis, iOS, SAS, Communication, C, Computer, Personal, Leadership, PowerPoint, Development, Science, SQL, Data, Programming, Math, Pharmaceutical, Computer Science",16,"C, Leadership, Development, Excel, Statistical Analysis, Science, SQL, Statistics, Computer, R, Data, Programming, Analysis, SAS, Mac, Computer Science",9,"PowerPoint, Personal, Pharmaceutical, Metrics, Mathematics, Microsoft Word, Math, iOS, Communication",92,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Technology, Forecasting, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
" Quantitative Researcher, Growth - Intern 2018", Facebook, , Internship,3,63.64,https://www.indeed.com/rc/clk?jk=9a91cba2a703f8e3&fccid=1639254ea84748b5&vjs=3,22,"Testing, Data Manipulation, Unix, Quantitative, Statistics, R, Metrics, Analysis, SAS, Communication, C, Data Analysis, Python, Research, Technology, Science, SQL, UNIX, Hive, Data, Organization, Design",14,"C, Technology, Science, Data Analysis, Quantitative, Python, Statistics, SQL, Hive, R, Data, Analysis, SAS, Design",8,"UNIX, Testing, Research, Data Manipulation, Metrics, Unix, Organization, Communication",94,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, image classification, Coding, Java, Analytics, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Networks, Business Objects",108
 Software Engineering Intern - Analytics Engineering, KAYAK, , Internship,6,63.64,https://www.indeed.com/rc/clk?jk=e76667d2b2ef49e8&fccid=3fc1e7f5af93d293&vjs=3,22,"Excel, Software, Languages, Unix, Technical, R, Usability, Web, Communication, C,  concepts, Python, Computer, Tools, Science, SQL, UNIX, Pandas, Data, Programming, Management, Computer Science",14,"C, Science, Excel, SQL, Python, Computer, R, Pandas, Tools, Data, Programming, Technical, Management, Computer Science",8," concepts, UNIX, Usability, Software, Languages, Unix, Web, Communication",94,"Toad, Tensorflow, Certifications, Code, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Java, Analytics, Data Mining, Lumira, Sqoop, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Research and Acceleration Analyst - Part-time Internship (Fall 2018)," Two Sigma Investments, LLC.", ," Part-time, Internship",9,63.33,https://www.indeed.com/rc/clk?jk=03b90cc19e928519&fccid=facc18fe475dac15&vjs=3,30,"Financial, Languages, Scripting Languages, Technical, Quantitative, Statistics, R, Analysis, iOS, Matlab, C, Data Analysis, Python, Computer, Tableau, Research, Data Science, Tools, Database, Technology, Science, SQL, Relational Databases, Applications, Databases, Data, Big Data, Creative, Management, Computer Science",19,"C, Technology, Science, Data Analysis, Quantitative, Python, Statistics, Computer, Tableau, R, SQL, Data Science, Tools, Data, Big Data, Analysis, Technical, Management, Computer Science",11,"Research, Relational Databases, Applications, Financial, Languages, Scripting Languages, Databases, Creative, Database, iOS, Matlab",89,"Toad, Tensorflow, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, image classification, Coding, Java, Analytics, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 2018 Internship Program: Scientist, NIBR, ," Part-time, Internship",14,63.16,https://www.indeed.com/rc/clk?jk=a8491f53fe4b8628&fccid=e3d02f970def32f7&vjs=3,19,"C, Science, Development, Data Analysis, Quantitative, Logic, Statistics, Computer, R, Training, Data Science, Data, Creative,  Maintain, Email, Legal, Analysis, High Energy, Mac",12,"C, Science, Development, Data Analysis, Quantitative, Statistics, Computer, R, Data Science, Data, Analysis, Mac",7,"Logic, Training, Creative,  Maintain, Email, Legal, High Energy",96,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Tools, PLSQL, Leadership, Technology, Forecasting, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
" Intern, Product Analytics", SoFi, ," Full-time, Internship",14,62.96,https://www.indeed.com/rc/clk?jk=e1adba00a64c4021&fccid=7c3a1f1f98dde031&vjs=3,27,"Financial, MySQL, Data Visualization Tools, Mac, Quantitative, Statistics, R, Goals, Data Visualization, Analysis, Web, Statistical Modeling, C, Python, Computer, Tableau, Research, Tools, Engineering, User Research, Science, SQL, Matplotlib, Data, Math, Management, Computer Science",17,"C, Science, SQL, Quantitative, Python, Statistics, Computer, Tableau, R, Matplotlib, Data Visualization, Tools, Data, Analysis, Management, Mac, Computer Science",10,"Math, Research, Financial, MySQL, Goals, Engineering, User Research, Web, Data Visualization Tools, Statistical Modeling",91,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Java, Analytics, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Hive, Networks, Business Objects",108
 Intern: Connected Vehicle Data Analytics (Summer 2018), Volvo Group, ," Full-time, Temporary, Internship",3,62.5,https://www.indeed.com/rc/clk?jk=614f0a18e8c7abf5&fccid=0f63e537c80f169b&vjs=3,40,"Optimization, Logic, Organizational Skills, Problem Solving, Data Analytics, Algorithms, Information Technology, Analytical, Mac, Support, Statistics, R, Goals, Processing, Analysis, SAS, Communication, C, Python, Data Science, Attention to Detail, Tools, Engineering, Database, Analytical , C#, Java, Written Communication, Analytics, Data Mining, Technology, Development, Science, SQL, Organizational, Applications, Data, Programming, Organization, Management",25,"Optimization, Data Analytics, Information Technology, Algorithms, Mac, Statistics, R, Processing, Analysis, SAS, C, Python, Data Science, Tools, C#, Java, Analytics, Data Mining, Technology, Development, Science, SQL, Data, Programming, Management",15,"Support, Logic, Organizational, Attention to Detail, Goals, Applications, Problem Solving, Organizational Skills, Engineering, Database, Analytical , Organization, Written Communication, Communication, Analytical",83,"Toad, Statistical Learning, Tensorflow, Excel, Statistical Analysis, Decision making, Text Analytics, sklearn, Hadoop Streaming, MapReduce, Keras, Hadoop ecosystem, Certifications, Convolutional Neural Network, Reports, Code, Predictive Quantitative Analysis, Technical, Windows, R-Studio, Image Processing, Flume, Quantitative, Hadoop, Data Warehousing, Statistical Modelling, image classification problem, OLAP, SAP Business Objects, Data Visualization, Machine Learning Algorithms, C++, MS Excel, Quantitative Analysis, Big Data Analytics, Developer, Decision Analytics, Data Sets, Linux, Spyder, Seaborn, Oracle, ETL, Data Analysis, HANA, Computer, Tableau, image classification, Jupyter Notebooks, Decision Making, Reporting, Design, Enterprise Miner, SAP HANA, Operations, PLSQL, Spark, Coding, Oracle SQL Developer, BEX Query Designer and Analyzer, Leadership, Forecasting, Lumira, Matplotlib, Sqoop, SAP NetWeaver, Multivariate Analysis, Pandas, Translation, Hive, Networks, Numpy, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, sci-kit learn, Business Objects, MS Visual Studio, NLTK, SAP Design Studio, CNN, Computer Science",108
 Analytics Intern 2018a, John Deere, ," Full-time, Internship",16,62.5,https://www.indeed.com/rc/clk?jk=8a69c0ab02b43531&fccid=38eb72d608d80c79&vjs=3,32,"Financial, Problem Solving, Mathematics, Information Technology, Mac, Analytical, Support, Hadoop, Statistics, R, Analysis, SAS, C, Data Analysis, Computer, Project Management, Tools, Engineering, Database, Analytical , SPSS, Analytics, Technology, Forecasting, Innovation, SQL, Science, Data, Programming, Math, Management, Computer Science",20,"C, Technology, Forecasting, Science, Hadoop, Data Analysis, SQL, Statistics, Computer, Analytics, R, Tools, Data, Programming, Analysis, Information Technology, SAS, Management, Mac, Computer Science",12,"Innovation, Support, Math, Project Management, Financial, Mathematics, Problem Solving, Engineering, Database, Analytical , SPSS, Analytical",88,"Toad, Tensorflow, Excel, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Python, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Predictive Quantitative Analysis, Windows, Image Processing, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, PLSQL, Leadership, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Animal Care Exhibit Usage and Analyst Internship (Summer), Columbus Zoo and Aquarium, ," Full-time, Temporary, Internship",17,62.5,https://www.indeed.com/rc/clk?jk=0a88672bed17035f&fccid=32a0dd687a882b21&vjs=3,16,"C, Science, Excel, Computer, R, Training, Presentation, Reporting, Data,  Maintain, Analysis, Verbal, Management, Written Communication, Communication, Design",10,"C, Science, Excel, Computer, R, Reporting, Data, Analysis, Management, Design",6,"Training, Presentation,  Maintain, Verbal, Written Communication, Communication",98,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Computer Science, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, Data Science, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Science Intern, FabFitFun, , Internship,1,61.54,https://www.indeed.com/rc/clk?jk=3849454f72c7ecee&fccid=53aaa6a330569a86&vjs=3,26,"Excel, Implementation, Visio, Algorithms, Mac, Support, Statistics, R, Machine Learning Algorithms, SAS, Data Sets, C, Python, Decision Trees, Research, Data Science, Engineering, Vision, Data Mining, Science, SQL, Data, Medical, Programming, Math, Visualizations",16,"C, Data Mining, Science, Excel, SQL, Python, Statistics, R, Data Science, Machine Learning Algorithms, Data, Programming, Algorithms, Data Sets, SAS, Mac",10,"Support, Math, Decision Trees, Research, Medical, Implementation, Visio, Engineering, Visualizations, Vision",92,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Processing, Linux, Spyder, Data Analysis, image classification, Coding, Java, Analytics, Lumira, Sqoop, Pandas, Numpy, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, R-Studio, Quantitative, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Computer Science, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Information Technology, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, Tools, PLSQL, Leadership, Technology, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Data Analyst Intern, Brandify, , Internship,8,61.54,https://www.indeed.com/rc/clk?jk=b87e05e278d4eb01&fccid=e6f78b2262762844&vjs=3,26,"Excel, Information Technology, Data Management, Support, R, Metrics, Goals, Analysis, Verbal, Communication, C, Tableau, Personal, Data Science, Trends, Reporting, Tools, Analytics, Technology, Science, SQL, Data,  Maintain, Management, Google Analytics, Design",16,"C, Technology, Science, Excel, SQL, Tableau, R, Data Science, Reporting, Tools, Data, Analysis, Information Technology, Management, Analytics, Design",10,"Data Management, Support, Personal, Metrics, Trends, Goals,  Maintain, Verbal, Communication, Google Analytics",92,"Toad, Tensorflow, Certifications, Code, Technical, Flume, Machine Learning Algorithms, Processing, Linux, Spyder, Data Analysis, Python, image classification, Coding, Java, Data Mining, Lumira, Sqoop, Pandas, Numpy, Programming, NLTK, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Computer Science, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Computer, Jupyter Notebooks, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Keras, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, SAS, Data Sets, Seaborn, Decision Making, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
 Paid Research Internship, The Jain Family Institute, ," Part-time, Temporary, Internship",16,61.54,https://www.indeed.com/company/The-Jain-Family-Institute/jobs/Paid-Research-Internship-e28921411eafd6eb?fccid=409ea3d92adc2867&vjs=3,26,"Physics, Tensorflow, Testing, Keras, Information Technology, Technical, R, Review, Processing, Communication, C,  concepts, Python, Computer, Research, Data Science, Tools, Engineering, Work Independently, Technology, Science, Applications, NLTK, Data, Install, Computer Science",16,"C, Technology, Tensorflow, Science, Python, Computer, R, Data Science, Keras, Tools, Processing, Data, Information Technology, Technical, NLTK, Computer Science",10,"Physics,  concepts, Install, Testing, Research, Review, Applications, Engineering, Work Independently, Communication",92,"Toad, Excel, Certifications, Code, Flume, Machine Learning Algorithms, Linux, Spyder, Data Analysis, image classification, Coding, Java, Analytics, Data Mining, SQL, Lumira, Sqoop, Pandas, Numpy, Programming, SAP Design Studio, CNN, Statistical Analysis, Hadoop Streaming, Data Analytics, Mac, R-Studio, Quantitative, Statistics, Tableau, SAP HANA, Oracle SQL Developer, BEX Query Designer and Analyzer, SAP NetWeaver, Translation, Exploratory Data Analysis, Big Data, Microsoft Azure, Pig, MS Visual Studio, Hadoop ecosystem, Management, Design, Optimization, Decision making, sklearn, Convolutional Neural Network, Algorithms, Predictive Quantitative Analysis, Windows, Image Processing, Hadoop, Statistical Modelling, SAP Business Objects, Data Visualization, MS Excel, Quantitative Analysis, Developer, Decision Analytics, Oracle, ETL, HANA, Jupyter Notebooks, PLSQL, Leadership, Forecasting, Development, Multivariate Analysis, sci-kit learn, Statistical Learning, Text Analytics, MapReduce, Reports, Data Warehousing, image classification problem, OLAP, C++, Big Data Analytics, Analysis, SAS, Data Sets, Seaborn, Decision Making, Reporting, Enterprise Miner, Operations, C#, Spark, Matplotlib, Hive, Networks, Business Objects",108
